Harry Potter #1,J. K. Rowling,1338878921,1997,15.0,5
Harry Potter #2,J. K. Rowling,0439064874,1998,16.0,2
Harry Potter #3,J. K. Rowling,1551927322,1999,18.0,3
The Hunger Games #1,Suzanne Collins,0439023483,2008,12.0,2
The Hunger Games #2,Suzanne Collins,0439023491,2009,13.0,2
The Hunger Games #3,Suzanne Collins,0545663261,2010,14.0,2
The Lord of the Rings,J. R. R. Tolkien,0358653037,1968,31,3
The Hobbit,J. R. R. Tolkien,0063347539,1937,32,2
Himu #1,Humayun Ahmed,9844126118,1993,15,3
Feluda #1,Satyajit Ray,8177564803,1966,10,1
